Cust_No,Target,Birth_Place,Gender,Age,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
1552,0,330621,1,54,0.99,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
1553,0,330621,1,41,875.02,20000,0,6,4,3,1188,5,1,0,0,0,0,0,0
1554,0,330602,1,37,16.92,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
1555,0,330621,1,57,952.84,5000,0,1,1,1,212,1,1,1,1,0,0,0,0
1556,0,330621,1,43,77.81,5000,250000,12,8,4,4557,19,2,1,1,1,3792,3,1
1557,0,330621,1,43,1007.51,20000,0,6,4,4,14381,78,6,1,1,1,3203,105,1
1558,0,330621,1,47,108.88,30000,7200000,9,7,3,1935,8,1,6,4,5,1390341,44,7
1559,0,330621,0,31,27.76,10000,0,6,4,2,467,4,2,0,0,0,0,0,0
1560,0,330124,1,29,39747.72,10000,150000,4,3,1,50,4,2,1,1,1,0,1,1
1561,0,330621,1,30,501.03,5000,1500000,2,2,1,38,6,1,0,0,0,0,0,0
1562,0,330621,1,36,0.71,5000,41734.05,10,6,0,0,0,0,5,5,0,0,0,0
1563,0,330621,1,53,163.58,20000,400000,15,4,2,539,6,1,1,1,0,0,0,0
1564,0,330621,0,37,208.52,50000,7740000,10,5,5,11907,120,1,3,2,6,5192054,312,7
1565,0,330621,0,45,56938.6,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
1566,0,330621,1,52,40.39,10000,600000,4,3,1,200,2,1,1,1,0,0,0,0
1567,0,330621,1,49,954.14,40000,0,7,5,2,1023,19,2,0,0,0,0,0,0
1568,0,330621,1,41,241.71,20000,800000,3,3,0,0,0,0,2,2,0,0,0,0
1569,0,330621,1,47,221.42,10000,200000,2,2,1,491,36,2,1,1,0,0,0,0
1570,0,330621,1,54,999.81,50000,0,6,3,0,0,0,0,1,1,0,0,0,0
1571,0,330621,1,43,124.59,6000,0,0,0,0,0,0,0,0,0,0,0,0,0
1572,0,330124,0,54,448.6,30000,0,5,4,4,20865,31,7,1,1,1,822958,11,7
1573,0,330621,1,42,24989.08,10000,50000,1,1,0,0,0,0,2,2,0,0,0,0
1574,0,330621,1,60,136248.39,10000,3750000,6,3,3,7923,115,3,2,2,1,4363,35,1
1575,0,330621,1,47,1588.12,5000,30000,1,1,1,16,1,1,3,2,0,0,0,0
